eht_sd,median_uncertainty,mean_uncertainty,min_uncertainty,max_uncertainty,median_ci_width,rhat_max,ess_min,n_divergent,ratio_to_claimed
3,302.5983600741192,301.0855527238853,219.24424984199948,323.6007319410401,605.1967201482385,1.0021425791723588,2784.1160695751705,0,10.086612002470641
2.5,300.688466791016,298.9769862266353,224.1691685225995,318.1250611543295,601.376933582032,1.0014189001224314,3174.3575180351154,0,10.022948893033867
2,300.32032227488355,298.96263534174847,216.16918887069593,319.6655102956516,600.6406445497671,1.0008945635008526,5232.552083473737,0,10.010677409162785
1.5,298.6235664759312,297.2496152599171,213.9213567462233,319.2138687841576,597.2471329518625,1.0017863420590958,3201.4282131227965,0,9.954118882531041
1,297.7871105292892,296.48553874059985,213.99427626329867,316.82743245315845,595.5742210585784,1.0015662679193524,3806.980946023527,0,9.926237017642972
0.5,297.2482618456706,296.2439166546994,207.06912477515652,315.93512603802867,594.4965236913412,1.0010999753521703,3496.646560936367,0,9.908275394855686
0.3,296.3166619198962,295.01924286806735,208.5880624960213,319.7288801633853,592.6333238397924,1.0009846085693614,3409.655509177565,0,9.87722206399654
0.2,297.4950051614602,295.8766353071556,215.09071010696874,318.7475567832673,594.9900103229204,1.0027493034105457,2816.98869474244,0,9.916500172048673
0.1,296.97249278173643,295.94730377542055,211.90484914248162,319.7018831465507,593.9449855634729,1.001470305210618,2149.8522297982863,0,9.899083092724547
